中文名,外文名,ICAO代码,IATA代码,通航日期,所属地区,飞行区等级,机场类型,地区管理,航站楼面积,机位数量,跑道长度,航线数量,通航城市,旅客吞吐量,货邮吞吐量,起降架次,运营机构,开通城市,总投资,跑&nbsp;&nbsp;&nbsp;&nbsp;道,轨道交通线路站点,铁&nbsp;&nbsp;&nbsp;&nbsp;路,旅客捷运系统,枢纽航司,地&nbsp;&nbsp;&nbsp;&nbsp;址,安全管理机构,设计旅客年吞吐量,设计货邮年吞吐量,东跑道长度,西跑道长度,跑道宽度,客运航线,地理位置,始建时间,航站楼数量,机场地址,通航时间,机场代码,机场性质
延安南泥湾机场,Yanan Nanniwan Airport,ZLYA,ENY,2018年11月8日,中国 陕西省 延安市,4C级,军民合用运输机场,中国民用航空西北地区管理局,1.3万平方米（截至2019年4月）,7个（截至2019年4月）,3000米，共1条（截至2019年4月）,约20条（截至2019年4月）,16个（截至2019年4月）,38.65万人次（2018年）,0.05万吨（2018年）,0.37万架次（2018年）,西部机场集团延安机场有限公司,,,,,,,,,,,,,,,,,,,,,,
福州长乐国际机场,Fuzhou Changle International Airport,ZSFZ,FOC,1997年6月23日,中国福建省福州市,4E,民用运输机场,中国民用航空华东地区管理局,216000 m² [11] （截至2018年11月）,76 个 （截至2017年4月）,3600 m,129 条 （2024年冬春航季）,89个 （截至2018年12月）,1611.8 万人次 （2025年）,约 10.12 万吨 （2024年）,约10.8万架次 （2024年）,元翔（福州）国际航空港有限公司,,,,,,,,,,,,,,,,,,,,,,
阜阳机场,Fuyang Airport,ZSFY,FUG,1998年12月26日,中国安徽省阜阳市,4C级,民用运输机场,中国民用航空华东地区管理局,30283 m² （截至2023年6月）,11 个 （截至2023年6月）,2800 m （截至2023年6月）,25 条 （2024年夏秋航季）,18个（2025夏航季） [40],968832 人次 （2023年）,1842.8 吨 （2023年）,12088架次（2023年）,阜阳民用航空中心,,,,,,,,,,,,,,,,,,,,,,
佛山沙堤机场,Foshan Shadi Airport,ZGFS,FUO,2009年11月18日,中国广东省佛山市,4C级,军民合用机场,中国民用航空中南地区管理局,8060 m² [30],10个（截至2020年4月）,2800米（截至2020年4月）,16 条 （2024年夏秋航季）,16座（2024年夏秋航季）,1329381 人次 （2024年）,,9420 （2024年）,佛山沙堤机场管理有限公司 中国联合航空公司,,,,,,,,,,,,,,,,,,,,,,
富蕴可可托海机场,Fuyun Koktokay Airport,ZWFY,FYN,2015年8月1日,中国新疆维吾尔自治区 阿勒泰地区,4C,军民合用机场,中国民用航空新疆管理局,5504 m² （截至2015年8月）,4 个 （截至2015年8月）,2600 m （截至2015年8月）,4 条 （2020年夏秋航季）,6个 （2024年夏航季）,65107 人次 （2019年）,16 吨 （2019年）,39086架次（2019年）,新疆机场集团公司,,,,,,,,,,,,,,,,,,,,,,
格尔木机场,Geermu Airport,ZLGM,GOQ,1974年11月,中国青海省海西州格尔木市,4D级,军民合用机场,中国民用航空西北地区管理局,10203平方米（截至2020年3月）,12个（截至2020年3月）,4800米（截至2020年3月）,3条（截至2020年3月）,5个（截至2020年3月）,22.7098万人次（2019年）,1739.0吨（2019年）,3235架次（2019年）,西部机场集团青海机场有限公司 格尔木机场分公司,,,,,,,,,,,,,,,,,,,,,,
甘南夏河机场,Gannan Xiahe Airport,ZLXH,GXH,2013年8月19日,中国甘肃省甘南藏族自治州,4C级,民用运输机场,中国民用航空西北地区管理局,3185平方米（截至2020年4月）,3个（截至2020年4月）,3200米（截至2020年4月）,2条（截至2020年5月）,4个（截至2020年5月）,59462 人次 [21] （2024年）,14.8 吨 [21] （2024年）,588架次 [21] （2024年）,西部机场集团有限公司 甘肃机场管理有限公司甘南夏河机场分公司,,,,,,,,,,,,,,,,,,,,,,
海口美兰国际机场,Haikou Meilan International Airport,ZJHK [80],HAK [80],1999年5月25日,中国海南省海口市美兰区灵山镇,4E [171],民用运输机场,中国民用航空中南地区管理局,约 450000 m² （截至2021年12月）,139 个 （截至2021年12月）,3600 m （截至2021年12月）,235 条 （截至2021年12月2日）,134个 [64] （截至2023年前三季度）,1807.7 万人次 [64] （截至2021年12月2日）,23.03 万吨 [64] （截至2021年12月2日）,12.65万架次 （截至2021年12月2日）,海口美兰国际机场有限责任公司,,,,,,,,,,,,,,,,,,,,,,
黑河瑷珲机场,Heihe Aihui Airport,ZYHE,HEK,2001年9月30日,中国黑龙江省黑河市,4C级,民用运输机场,中国民用航空东北地区管理局,5800 m² （截至2020年8月）,4 个 （截至2020年8月）,2500 m （截至2020年8月）,4 条 （截至2021年1月）,6座（截至2021年1月）,21.5947万人次（2019年）,35.8吨（2019年）,2730架次（2019年）,黑龙江省机场管理集团有限公司 黑河机场分公司,,,,,,,,,,,,,,,,,,,,,,
呼和浩特白塔国际机场,Hohhot Baita International Airport,ZBHH,HET,1958年10月1日,中国内蒙古自治区呼和浩特市,4E级,民用运输机场,中国民用航空华北地区管理局,105400 m² （截至2025年9月）,64 个 （截至2025年9月）,3600 m （截至2025年9月）,139 条 （2025年夏秋航季）,92座（2025年夏秋航季）,13166230 人次 （2024年）,59180.6 吨 （2024年）,117907架次（2024年）,内蒙古自治区民航机场集团有限责任公司呼和浩特分公司,,,,,,,,,,,,,,,,,,,,,,
合肥新桥国际机场,Hefei Xinqiao International Airport,ZSOF,HFE,2013年5月30日,中国安徽省合肥市,4E,民用运输机场,中国民用航空华东地区管理局,108500 m² [32],53 个 [2] （截至2022年）,3400 m （截至2024年）,120 条 [90] （截至2023年底）,,1248.14 万人次 [84] （2024年）,12.01 万吨 [84] （2024年）,9.67万架次 （2023年）,安徽民航机场集团有限公司,,,,,,,,,,,,,,,,,,,,,,
杭州萧山国际机场,Hangzhou Xiaoshan International Airport,ZSHC,HGH,2000年12月28日,中国浙江省杭州市,4F,民用运输机场,中国民用航空华东地区管理局,889000 m² （截至2025年12月）,211 个 （截至2025年12月）,3400 至 3600 m （截至2025年12月）,,,50000000 人次 （2025年）,734859 吨 （2024年）,320269架次（2024年）,浙江省机场集团有限公司 杭州萧山国际机场有限公司,,,,,,,,,,,,,,,,,,,,,,
呼伦贝尔海拉尔国际机场,Hulunbeier Hailar International Airport,ZBLA,HLD,1932年,中国内蒙古自治区呼伦贝尔市,4D级,民用运输机场,中国民用航空华北地区管理局,28127 m² （截至2025年11月）,20 个 （截至2025年11月）,2800 m （截至2025年11月）,34 条 （2025/2026年冬春航季）,30座（2025/2026年冬春航季）,3227793 人次 （2024年）,6208.9 吨 （2024年）,27027架次（2024年）,内蒙古自治区民航机场集团有限责任公司 呼伦贝尔分公司,,,,,,,,,,,,,,,,,,,,,,
乌兰浩特义勒力特机场,Ulanhot Yileleeteuk Airport,ZBUL,HLH,1995年4月5日,中国内蒙古自治区兴安盟,4C级,民用运输机场,中国民用航空华北地区管理局,1.8万平方米（截至2018年4月）,10个（截至2018年4月）,2600米（截至2018年4月）,13 条 （2022/2023年冬春航季）,16座（2022/2023年冬春航季）,84.5020万人次（2019年）,1756.7吨（2019年）,3.8129万架次（2019年）,内蒙古自治区民航机场管理集团有限责任公司乌兰浩特分公司,,,,,,,,,,,,,,,,,,,,,,
哈密伊州机场,Hami Yizhou Airport,ZWHM,HMI,2008年12月16日,中国新疆维吾尔自治区哈密市,4D [26],军民合用机场,中国民用航空新疆管理局,4875.5 m² （截至2022年1月）,6 个 （截至2022年1月）,2800 m （截至2022年1月）,5 条 （2022年夏秋航季）,6座（2022年夏秋航季）,173179 人次 （2021年）,287.5 吨 （2021年）,2690架次（2021年）,新疆机场（集团）有限责任公司,,,,,,,,,,,,,,,,,,,,,,
衡阳南岳机场,Hengyang Nanyue Airport,ZGHY,HNY,2014年12月23日,中国 衡阳市,4C级,民用运输机场,中国民用航空中南地区管理局,1.43万平方米（截至2014年12月）,11 个 [21] （截至2020年）,2600米，共1条（截至2014年12月）,21条（截至2019年10月）,29个（截至2019年1.月）,110.29万人次（2019年）,0.13万吨（2019年）,1.11万架次（2019年）,湖南省机场管理集团有限公司 衡阳南岳机场有限责任公司,,,,,,,,,衡阳市公安局 南岳机场分局,,,,,,,,,,,,,
哈尔滨太平国际机场,Harbin Taiping International Airport,ZYHB,HRB,1979年12月27日,中国黑龙江省哈尔滨市,4E级,民用运输机场,中国民用航空东北地区管理局,226500 m² （截至2024年7月）,90 个 （截至2024年7月）,3200 至 3600 m [129] （共两条）,282 条 （截至2024年12月31日）,127座 [122] （截至2024年12月31日）,2379.8 万人次 [122] （2024年）,1312222.2 吨 （2023年）,15.96万次 （2024年）,首都机场集团有限公司 黑龙江省机场管理集团有限公司,,,,,,,,,,3800万人次 [153],30万吨 [153],,,,,,,,,,,
韶关丹霞机场,Shaoguan Danxia Airport,ZGSG,HSC,2021年11月27日,中国 广东省 韶关市,4C,军民合用机场,中国民用航空中南地区管理局,13300 m² （截至2021年11月）,8 个 （截至2021年11月）,2800 m （截至2021年11月）,4 条 （2025-2026年冬春航季）,6座 （2025-2026年冬春航季）,216822 人次 （2024年）,6.7 吨 （2024年）,2878架次 （2024年）,广东省机场管理集团韶关丹霞机场有限公司,,,,,,,,,,,,,,,,,,,,,,
舟山普陀山国际机场,Zhoushan Putuoshan International Airport,ZSZS,HSN,1997年8月8日,中国浙江省舟山市,4D,民用运输机场,中国民用航空华东地区管理局,28816 m² （截至2024年5月）,20 个 （截至2024年5月）,2500 m （截至2024年5月）,23 条 （2024年夏秋航季）,28（2024年夏秋航季）,2399221 人次 （2023年）,2271.6 吨 （2023年）,31186架次（2023年）,浙江省机场集团有限公司 舟山民航集团有限公司,,,,,,,,,,,,,,,,,,,,,,
和田昆冈机场,Hetian Kungang Airport,ZWTN,HTN,1956年7月,中国新疆维吾尔自治区和田地区,4D级,军民合用机场,中国民用航空新疆管理局,17493.4 m² （截至2021年2月）,7 个 （截至2021年2月）,3800 m [23] （截至2024年南跑道长度，北跑道长度为3200米）,25 条 （2022/2023年冬春航季）,20座（2022/2023年冬春航季）,1290889 人次 （2021年）,6327.1 吨 （2021年）,13527架次（2021年）,新疆机场（集团）有限责任公司和田（于田）机场,,,,,,,,,,,,,,,,,,,,,,
台州路桥机场,Taizhou Luqiao Airport,ZSLQ,HYN,1987年12月2日,中国浙江省台州市,4C级,军民合用机场,中国民用航空华东地区管理局,35000 m² （截至2024年12月）,16 个 （截至2024年12月）,2500 m （截至2024年12月）,24 条 （2024年冬春航季）,25座（2024年冬春航季）,2017274 人次 （2023年）,10566.6 吨 （2023年）,16858架次（2023年）,浙江省机场集团有限公司 浙江省台州机场管理有限公司,,,,,,,,,,,,,,,,,,,,,,
汉中城固机场,Hanzhong Chenggu Airport,ZLHZ,HZG,2014年8月13日,中国陕西省汉中市,4C,军民合用机场,中国民用航空西北地区管理局,5500 m² （截至2020年8月）,5 个 （截至2020年8月）,2500 m （截至2020年8月）,13 条 （2021年夏秋航季）,15座（2021年夏秋航季）,409731 人次 （2021年）,1056.3 吨 （2021年）,13528架次（2021年）,西部机场集团汉中机场有限公司,,,,,,,,,,,,,,,,,,,,,,
银川河东国际机场,Yinchuan Hedong International Airport,ZLIC,INC,1997年9月6日,中国·宁夏回族自治区银川市,4E,民用运输机场,中国民用航空局西北地区管理局,12.9万平方米（不含T1，截至2018年2月）,47 个 （截至2017年12月）,3600 m （截至2017年12月）,89 条 （国内线，截至2017年12月） 12 条 （国际线，截至2017年12月）,74个 （截至2017年12月）,1000 万人次 （2019年）,4.22 万吨 （2017年）,6.71万架次 （2017年）,西部机场集团宁夏机场有限公司,,,,,,,,银川市灵武市临河镇,,,,,,,,,,,,,,
且末玉都机场,Qiemo Yudu Airport,ZWCM,IQM,2016年12月19日,中国新疆维吾尔自治区巴音郭楞蒙古自治州且末县,4C级,军民合用机场,中国民用航空新疆管理局,4497.84平方米（截至2018年11月）,3个（截至2018年11月）,2800米（截至2016年12月）,5条（截至2020年5月）,4个（截至2020年5月）,13.5663万人次（2019年）,8.9吨（2019年）,2185架次（2019年）,新疆机场（集团）有限责任公司 库尔勒机场,,,,,,,,,,,,,,,,,,,,,,
庆阳西峰机场,Qingyang Xifeng Airport,ZLQY,IQN,1977年11月30日,中国甘肃省庆阳市,4C级,民用运输机场,中国民用航空西北地区管理局,7150 m² （截至2023年9月）,6 个 （截至2023年9月）,2800 m （截至2023年9月）,8 条 （2023年夏秋航季）,11座（2023年夏秋航季）,294222 人次 （2022年）,108 吨 （2022年）,28627架次（2022年）,甘肃省民航机场集团有限公司庆阳机场分公司,,,,,,,,,,,,,,,,,,,,,,
景德镇罗家机场,Jingdezhen Luojia Airport,ZSJD,JDZ,1960年9月,中国江西省景德镇市,4C级,民用运输机场,中国民用航空华东地区管理局,6200平方米（截至2020年4月）,4个（截至2020年4月）,2400米（截至2020年4月）,8 条 （2022/2023年冬春航季）,12座（2022/2023年冬春航季）,475148 人次 （2021年）,396.7 吨 （2021年）,6039架次（2021年）,首都机场集团有限公司 江西省机场集团公司 景德镇机场分公司,,,,,,,,,,,,,,,,,,,,,,
十堰武当山机场,Shiyan Wudangshan Airport,ZHSY,WDS,2016年2月5日,中国湖北省十堰市,4C级,民用运输机场,中国民用航空中南地区管理局,1.64万平方米（截至2019年4月）,7个（截至2019年4月）,2600米，共1条（截至2019年4月）,固定航线17条（截至2019年4月）,29个（截至2019年4月）,109.1 万人次 [27] （2023年）,0.05万吨（2018年）,1.25万架次（2018年）,十堰武当山机场管理有限公司,,,,,,,,,,,,,,,,,,,,,,
西双版纳嘎洒国际机场,Xishuangbanna Gasa International Airport,ZPJH,JHG,1990年4月7日,中国云南省西双版纳自治州景洪市,4D级,民用运输机场,中国民用航空西南地区管理局,3.3万平方米（截至2019年4月）,18个（据2019年4月信息显示）,2400米，共1条（据2019年4月信息显示）,83 条 （2024年冬春航季）,68个 （2024年冬春航季）,716 万人次 （2024年）,2.26 万吨 （2024年）,5.22万架次 （2024年）,云南机场集团有限责任公司西双版纳机场,,,,,,,,,,,,,,,,,,,,,,
临汾尧都机场,Linfen Yaodu Airport,ZBLF,LFQ,2016年1月25日,中国山西省临汾市,4C级,民用运输机场,中国民用航空华北地区管理局,2.6万平方米（截至2020年3月）,9个（截至2020年3月）,2600米（截至2020年3月）,17 条 （2022/2023年冬春航季）,26座（2022/2023年冬春航季）,783950 人次 （2021年）,232.6 吨 （2021年）,9084架次（2021年）,山西航空产业集团有限公司 临汾民航机场有限公司,,,,,,,,,,,,,,,,,,,,,,
九江庐山机场,Jiujiang Lushan Airport,ZSJJ,JIU,1996年6月18日,中国江西省九江市,4C级,军民合用机场,中国民用航空华东地区管理局,11815平方米（截至2020年5月）,3个（截至2020年5月）,2800米（截至2020年5月）,4 条 （2022/2023年冬春航季）,6座（2024年夏秋航季）,15880 人次 （2021年）,,222架次（2021年）,江西省机场集团有限公司九江机场分公司,,,,,,,,,,,,,,,,,,,,,,
泉州晋江国际机场,Quanzhou Jinjiang International Airport,ZSQZ,JJN,1996年12月12日 [3],中国福建省泉州市,4D,军民合用机场,中国民用航空华东地区管理局,58293 m²,29 个 （截至2020年3月）,2600 m （1条，截至2018年3月）,94 条 （截至2018年8月）,45个 （截至2018年8月）,744.3 万人次 （2018年）,6.4 万吨 （2018年）,5.8万架 （2018年）,泉州晋江国际机场股份有限公司,,,,,,,,,,,,,,,,,,,,,,
佳木斯松江国际机场,Jiamusi Songjiang International Airport,ZYJM,JMU,1959年5月4日,中国黑龙江省佳木斯市,4C,军民合用机场,中国民用航空东北地区管理局,5728 m² （截至2026年1月）,6 个 （截至2026年1月）,2500 m （截至2026年1月）,10 条 （2025/2026年冬春航季）,10座（2025/2026年冬春航季）,87.58 万人次 （2025年）,1464.8 吨 （2025年）,8442架次（2024年）,首都机场集团有限公司 黑龙江省机场管理集团有限公司佳木斯分公司,,,,,,,,,,,,,,,,,,,,,,
济宁大安机场,Jining Da&#x27;an Airport,ZSJG,JNG,2023年12月28日,中国山东省 济宁市,4C,民用运输机场,中国民用航空华东地区管理局,29687 m² （截至2023年12月）,17 个 （截至2023年12月）,2800 m （截至2023年12月）,28 条,28,,,,山东省机场管理集团有限公司,,,,,,,,,,,,,,,,,,,,,,
琼海博鳌国际机场,Qionghai Boao International Airport,ZJQH,BAR,2017年1月6日,中国海南省琼海市,4C （博鳌亚洲论坛期间为4E）,民用运输机场,中国民用航空中南地区管理局,18467 m² （截至2023年9月）,52 个 （截至2023年9月）,3200 m （截至2023年9月）,13 条 （2024年夏秋航季）,15座（2024年夏秋航季）,951277 人次 （2023年）,2518.2 吨 （2023年）,25198架次（2023年）,海南机场集团有限公司 海南博鳌机场有限责任公司,,,,,,,,,,,,,,,,,,,,,,
衢州机场,Quzhou Airport,ZSJU,JUZ,1993年11月26日,中国浙江省衢州市,4C级,军民合用机场,中国民用航空华东地区管理局,3400 m² （截至2023年6月）,4 个 （截至2023年6月）,2600 m （截至2023年6月）,25 条 （2022年夏秋航季）,24座（2022年夏秋航季）,883433 人次 （2023年）,1142.4 吨 （2023年）,10790架次（2023年）,浙江省机场集团有限公司 浙江省衢州机场管理有限公司,,,,,,,,,,,,,,,,,,,,,,
库车龟兹机场,Kuqa Qiuci Airport,ZWKC,KCA,2011年9月7日,新疆维吾尔自治区阿克苏地区库车市,4C,民用运输机场,中国民用航空新疆管理局,5120 m² （截至2011年7月）,5 个 （截至2011年7月）,2600 m （截至2011年7月）,3 条 （2020夏秋航季）,3个（2020夏秋航季）,42.46 万人次 （2019年）,491.7 吨 （2019年）,5793架次（2019年）,新疆机场集团公司,,,,,,,,,,,,,,,,,,,,,,
喀什徕宁国际机场,Kashi Laining International Airport,ZWSH,KHG,1953年10月,中国新疆维吾尔自治区喀什地区,4E级,军民合用机场,中国民用航空新疆管理局,57000 m² （截至2024年1月）,27 个 （截至2024年1月）,3200 m （截至2024年1月）,35 条 （2023年夏秋航季）,30座（2023年夏秋航季）,3354371 人次 （2023年）,16071.1 吨 （2023年）,25671 架次（2023年）,新疆机场（集团）有限责任公司喀什管理分公司,,,,,,,,,,,,,,,,,,,,,,
南昌昌北国际机场,Nanchang Changbei International Airport,ZSCN,KHN,1999年9月10日,中国江西省南昌市新建区 [63],4E级,民用运输机场,中国民用航空华东地区管理局,160900 km² （T1+T2，截至2025年1月）,62 个 （截至2025年1月）,3400 m （截至2025年1月）,78 条 （截至2024年10月）,67个（截至2024年10月） [76],1126.79 万人次 [86] （2024年）,6.63 万吨 [86] （2024年）,8.85万架次 [86] （2024年）,江西省机场集团公司,,,,,,,,,,,,,,,,,,,,,,
昆明长水国际机场,Kunming Changshui International Airport,ZPPP,KMG,2012年6月28日,中国云南省昆明市官渡区长水街道,4F,民用运输机场,中国民用航空局西南地区管理局,548300 m²,110 个,4000 至 4500 m （共2条）,276 条 （截至2015年11月）,,42033527 人次 [137] （2023年）,41.57 万吨 （2019年）,357080架次 （2019年）,云南机场集团有限责任公司,,,,,,,,,,,,,,,,,,,,,,
吉安井冈山机场,Ji&#x27;an Jinggangshan Airport,ZSGS,JGS,2004年5月18日,中国江西省吉安市,4C,军民合用机场,中国民用航空华东地区管理局,13640 m² （截至2022年1月）,9 个 （截至2022年1月）,2600 m （截至2022年1月）,16 条 （2022年夏秋航季）,26座（2022年夏秋航季）,71.33 万人次 （2021年）,559.9 吨 （2021年）,9704架次（2021年）,首都机场集团有限公司 江西省机场集团公司吉安机场分公司,,,,,,,,,,,,,,,,,,,,,,
赣州瑞金机场,Ganzhou Ruijin Airport,ZSRJ,JRJ,2025年9月28日,中国江西省赣州市,4C,民用运输机场,中国民用航空华东地区管理局,7637 m² [24] （截至2025年9月）,8 个 （截至2025年9月）,2600 m （截至2025年9月）,3 条 （2025年夏秋航季）,3座（2025年秋冬航季） [28],,,,江西省机场集团有限公司瑞金机场分公司,,,,,,,,,,,,,,,,,,,,,,
库尔勒梨城机场,Korla Licheng Airport,ZWKL,KRL,2007年12月20日,中国新疆维吾尔自治区巴音郭楞蒙古自治州库尔勒市,4D级,军民合用机场,中国民用航空新疆管理局,25925平方米（截至2020年2月）,13个（截至2020年2月）,2800米（截至2020年2月）,42条（截至2019年10月）,36个（截至2019年10月）,220.2333万人次（2019年）,8743.7吨（2019年）,24222架次（2019年）,新疆机场集团公司 库尔勒机场有限责任公司,,,,,,,,,,,,,,,,,,,,,,
克拉玛依古海机场,Kelamayi Guhai Airport,ZWKM,KRY,2006年4月10日,中国新疆维吾尔自治区克拉玛依市,4D,民用运输机场,中国民用航空新疆管理局,15000 m² （截至2024年6月）,10 个 （截至2024年6月）,2600 m （截至2024年6月）,11 条 （2023年夏秋航季）,11座（2023年夏秋航季）,402950 人次 （2021年）,578.5 吨 （2021年）,16841架次（2021年）,新疆机场（集团）有限责任公司,,,,,,,,,,,,,,,,,,,,,,
贵阳龙洞堡国际机场,Guiyang Longdongbao International Airport,ZUGY,KWE,1997年5月28日,中国贵州省贵阳市 南明区 [127],4E [116],民用运输机场,中国民用航空西南地区管理局,382000 m² [94] （截至2021年12月）,122 个 [114] （截至2021年12月）,3500 至 4000 m [93] （共2条，截至2021年12月）,国内228条（2019年） [7] 国际25条（2019年） [7],国内104个，国际13个（2024年） [6],2231.3 万人次 [6] [165] （2024年）,12.01万（2019年）,167063架次（2019年） [8],贵州省机场集团有限公司 贵州贵阳龙洞堡国际机场股份有限公司 [159],,,,,,,,,,,,,,,,,,,,,,
桂林两江国际机场,Guilin Liangjiang International Airport,ZGKL,KWL,1996年10月1日,中国 广西壮族自治区 桂林市,4E,民用运输机场,中国民用航空中南地区管理局,15.06万平方米（2018年1月）,51个（2018年1月）,3200米，共1条（截至2017年11月）,112条（截至2018年1月）,76个（截至2018年1月）,593.21 万人次 [56] （2024年）,3.03万吨（2019年）,6.81万架次（2019年）,广西机场管理集团有限责任公司,,,,,,,,,,,,,,,,,,,,,,
兰州中川国际机场,Lanzhou Zhongchuan International Airport,ZLLL,LHW,1970年7月26日,中华人民共和国甘肃省 兰州市 [50],4E,民用运输机场,中国民用航空西北地区管理局,400000 m² [67] （截至2016年底）,111 个 [67] （截至2016年底）,4000 m （截至2016年底）,212 条 （截至2019年底）,,1500 万人次 （2019年）,6.15 万吨 （2018年）,10.89万架次 （2018年）,甘肃省民航机场集团有限公司 兰州中川国际机场有限公司,,,,,,,,,,,,,,,,,,,,,,
丽江三义国际机场,Lijiang Sanyi International Airport,ZPLJ,LJG,1995年7月13日,中国云南省丽江市、大理白族自治州,4D级,民用运输机场,中国民用航空西南地区管理局,3.83万平方米（截至2019年4月）,19个（截至2019年4月）,3000米，共1条（截至2019年4月）,125 条 （2024年夏航季）,56个（2024年夏航季）,800 万人次 [52] （截至2024年12月26日）,1.26万吨（2019年）,5.42万架次（2019年）,云南机场集团有限责任公司丽江机场,,,,,,,,,,,,,,,,,,,,,,
德宏芒市国际机场,Dehong Mangshi International Airport,ZPMS,LUM,1990年4月10日,中国云南省德宏傣族景颇族自治州,4C,民用运输机场,中国民用航空西南地区管理局,17838.9 m²,25 个,2600 m,20 条 （2023年夏秋航季）,20座（2023年夏秋航季）,1042740 人次 （2022年）,5903.5 吨 （2022年）,10173架次（2022年）,云南机场集团有限责任公司德宏芒市机场,,,,,,,,,,,,,,,,,,,,,,
菏泽牡丹机场,Heze Mudan Airport,ZSHZ,HZA,2021年4月2日,中国 山东 省 菏泽市,4C,民用运输机场,中国民用航空华东地区管理局,10916 m² （截至2021年4月）,9 个 （截至2021年4月）,2600 m （截至2021年4月）,13 条 （2022/2023年冬春航季）,22座（2022/2023年冬春航季）,761955 人次 （2023年）,737 吨 [35] （2024年）,34329架次 （2023年）,山东省机场管理集团菏泽机场有限公司,,,,,,,,,,,,,,,,,,,,,,
拉萨贡嘎国际机场,Lhasa Konggar International Airport,ZULS,LXA,1966年10月25日,中国西藏自治区山南市,4E,军民合用机场,中国民用航空西南地区管理局,115185 m² （截至2026年2月）,34 个 （截至2026年2月）,4000 m （截至2026年2月）,,55座（2025/2026年冬春航季）,6284823 人次 （2025年）,49562.9 万吨 （2025年）,52073架次（2025年）,中国民用航空西藏自治区管理局 西藏机场集团,,,,,,,,,,,,,,,,,,,,,,
洛阳北郊机场,Luoyang Beijiao Airport,ZHLY,LYA,1987年9月26日,中国河南省洛阳市,4D级,民用运输机场,中国民用航空中南地区管理局,14800 m² （截至2021年6月）,9 个 （截至2021年6月）,2500 m （截至2021年6月）,23 条 （2022年夏秋航季）,31座（2022年夏秋航季）,1237795 人次 （2021年）,928.9 吨 （2021年）,226214架次（2021年）,洛阳北郊机场有限责任公司,,,,,,,,,,,,,,,,,,,,,,
连云港花果山国际机场,Lianyungang Huaguoshan International Airport,ZSLG,LYG,2021年12月2日,中国江苏省连云港市灌云县,4D,民用运输机场,中国民用航空华东地区管理局,30000 m²,16 个,2800 m,24 条 （2024年夏秋航季）,28个 （2024年夏秋航季）,1447802 人次 （2023年）,2008.6 吨 （2023年）,16062架次 （2023年）,东部机场集团有限公司 [35] 连云港花果山机场建设投资有限公司 [3],,,,,,,,,,,,,,,,,,,,,,
临沂启阳国际机场 [30],Linyi Qiyang International Airport,ZSLY,LYI,1999年1月18日,中国山东省临沂市,4D,民用运输机场,中国民用航空华东地区管理局,17600 m² （截至2024年3月）,35 个 （截至2024年3月）,3200 m （截至2024年3月）,52 条 [37] （截至2024年7月）,32个 [32] （截至2024年7月）,1182825 人次 （2022年）,6229.3 吨 （2022年）,32686架次（2022年）,山东省机场管理集团有限公司 山东省机场管理集团临沂国际机场有限公司,,,,,,,,,,,,,,,,,,,,,,
柳州白莲机场,Liuzhou Bailian Airport,ZGZH,LZH,1994年12月28日,中国广西壮族自治区柳州市,4C,军民合用机场,中国民用航空中南地区管理局,2.28万平方米 em 不含T1 /em （截至2016年12月）,10个 em 不含T1 /em （截至2016年12月）,2540米，共1条（截至2016年12月）,14 条 （2024年夏航季）,18个 （2024年夏航季）,125 万人次 [31] （2022年）,0.34 万吨 （2022年）,0.68万架次 （2022年）,广西机场管理集团有限责任公司柳州机场,,,,,,,,,,,,,,,,,,,,,,
泸州云龙机场,Luzhou Yunlong Airport,ZULZ,LZO,2018年9月10日,中国四川省泸州市,4C,军民合用机场,中国民用航空西南地区管理局,30000 m² （截至2018年9月）,14 个 （截至2018年9月）,2800 m （截至2018年9月）,,36座 （2025年夏秋航季）,243.5 万人次 （2024年）,5171.8 吨 （2024年）,25921架次 （2024年）,泸州机场（集团）有限责任公司,,,,,,,,,,,,,,,,,,,,,,
牡丹江海浪国际机场,Mudanjiang Hailang International Airport,ZYMD,MDG,1985年9月2日,中国黑龙江省牡丹江市,4C级,军民合用机场,中国民用航空东北地区管理局,8200平方米（截至2020年2月）,4个（截至2020年2月）,2600米（截至2020年2月）,17条（截至2019年10月）,12个（截至2019年10月）,80 万人次 （2023年）,1290.0吨（2018年）,8128架次（2018年）,首都机场集团公司 黑龙江省机场管理集团有限公司 牡丹江海浪国际机场有限公司,,,,,,,,,,,,,,,,,,,,,,
绵阳南郊机场,Mianyang Nanjiao Airport,ZUMY,MIG,2001年4月28日,中国四川省绵阳市,4D级,军民训三合一机场 [41],中国民用航空西南地区管理局,48000 m² [19],20个（据2020年3月信息显示）,2400米，共1条（据2019年4月信息显示）,59 条 [19] （截至2022年）,42个（截至2022年） [19],310.38 万人次 （2023年）,0.69 万吨 （2023年）,19.35万架次 （2023年）,绵阳机场（集团）有限公司,,,,,,,,,,,,,,,,,,,,,,
梅州梅县机场,Meizhou Meixian Airport,ZGMX,MXZ,1987年9月1日,中国广东省梅州市,4C级,民用运输机场,中国民用航空中南地区管理局,8227 m²,5 个,2400 m,9 条,11座,84769 人次 （2024年）,3.4 吨 （2024年）,1443架次 （2024年）,广东省机场管理集团有限公司梅州机场公司,,,,,,,,,,,,,,,,,,,,,,
